Date,Open,High,Low,Close,Adj Close,Volume
5/16/2007,13.544,13.677,13.353,13.619,10.594383,21332000
5/17/2007,13.629,13.8,13.52,13.609,10.586601,15159000
5/18/2007,13.653,13.829,13.489,13.805,10.739069,24626000
5/21/2007,13.725,14.127,13.685,13.951,10.852648,27556000
5/22/2007,14.092,14.096,13.824,13.873,10.791968,16378000
5/23/2007,14.098,14.356,13.938,14.013,10.90088,43780000
5/24/2007,14.09,14.162,13.758,13.898,10.811419,29119000
5/25/2007,13.943,14.017,13.826,13.907,10.818418,14528000
5/29/2007,14.195,14.599,14.102,14.406,11.2066,58825000
5/30/2007,14.369,14.766,14.251,14.713,11.445415,46089000
5/31/2007,14.854,15.331,14.801,14.955,11.63367,54012000
6/1/2007,15.101,15.223,14.966,15.11,11.754246,31536000
6/4/2007,15.002,15.172,14.966,15.125,11.765913,14693000
6/5/2007,15.095,15.095,14.661,14.92,11.606441,37777000
6/6/2007,14.84,14.84,14.581,14.702,11.436858,22644000
6/7/2007,14.702,14.918,13.81,13.941,10.844867,62604000
6/8/2007,13.906,14.714,13.518,14.358,11.169258,66562000
6/11/2007,14.416,14.632,14.007,14.16,11.01523,47441000
6/12/2007,14.17,14.624,14.07,14.531,11.303836,50805000
6/13/2007,14.665,15.15,14.561,15.03,11.692016,51915000
6/14/2007,15.01,15.269,14.809,15.029,11.691235,30468000
6/15/2007,15.22,15.824,15.216,15.765,12.263776,47955000
6/18/2007,15.941,16.482,15.823,16.462,12.805984,61167000
6/19/2007,16.424999,16.721001,16.150999,16.527,12.856548,54075000
6/20/2007,16.608999,16.940001,16.278,16.346001,12.715749,59046000
6/21/2007,16.24,16.490999,15.818,16.469,12.81143,57840000
6/22/2007,16.521,16.843,16.421,16.843,13.102366,46219000
6/25/2007,16.9,16.9,16.065001,16.195,12.598282,38693000
6/26/2007,16.35,16.537001,16.000999,16.181999,12.588166,44164000
6/27/2007,16.184999,16.452,15.78,16.302999,12.682295,32075000
6/28/2007,16.313,16.573,16.124001,16.478001,12.818429,19710000
6/29/2007,16.608999,16.719,16.374001,16.587,13.021756,25935000
7/2/2007,16.549999,16.749001,16.5,16.618,13.046099,27866000
7/3/2007,16.698,16.747,16.191999,16.221001,12.734431,13224000
7/5/2007,16.275999,16.395,16.063,16.171,12.695178,17590000
7/6/2007,16.200001,16.284,15.955,16.190001,12.710094,19056000
7/9/2007,16.200001,16.437,16.01,16.122,12.65671,19613000
7/10/2007,16.025,16.075001,15.67,15.835,12.431397,24125000
7/11/2007,15.899,15.985,15.558,15.635,12.274384,30506000
7/12/2007,15.799,16.851,15.731,16.787001,13.178777,58223000
7/13/2007,16.780001,17.459999,16.603001,16.921,13.283968,63705000
7/16/2007,16.799999,17.282,16.799999,16.971001,13.323219,28161000
7/17/2007,17.159,17.236,16.802999,16.924,13.286325,19898000
7/18/2007,16.781,16.959,16.656,16.882999,13.254136,21465000
7/19/2007,17.089001,17.25,16.737,16.743,13.144232,38193000
7/20/2007,16.700001,16.891001,16.264999,16.528,12.975438,37079000
7/23/2007,16.549999,16.9,16.542,16.76,13.157578,16295000
7/24/2007,16.552,16.552,15.731,15.877,12.464367,34124000
7/25/2007,16,16.379,15.783,16.110001,12.647288,36035000
7/26/2007,15.83,16.08,15.222,15.872,12.460443,36319000
7/27/2007,15.857,15.99,15.2,15.403,12.092253,24598000
7/30/2007,15.646,16.503,15.51,16.459,12.921273,32945000
7/31/2007,16.844999,17.052,16,16.08,12.623736,35926000
8/1/2007,15.082,15.245,13.9,15,11.775872,128976000
8/2/2007,14.7,14.78,13.93,14.262,11.196501,56492000
8/3/2007,14.06,14.065,12.817,13.126,10.304674,69662000
8/6/2007,13.211,13.848,12.346,13.762,10.803972,86900000
8/7/2007,13.612,14.502,13.5,14.427,11.326034,70508000
8/8/2007,14.584,15,14.4,14.802,11.620432,47432000
8/9/2007,14.257,14.651,14.1,14.128,11.091302,38111000
8/10/2007,13.93,13.995,13.351,13.84,10.865206,43183000
8/13/2007,14.25,14.313,13.602,13.659,10.723108,36105000
8/14/2007,13.475,13.644,13.14,13.352,10.482095,37510000
8/15/2007,13.396,13.57,12.899,12.904,10.130392,33143000
8/16/2007,12.42,13.966,12,13,10.205758,72229000
8/17/2007,13.578,13.91,13.05,13.7,10.755299,50876000
8/20/2007,13.957,14.106,13.631,13.79,10.82595,28936000
8/21/2007,13.9,14.264,13.8,14.016,11.003376,21066000
